is_NY,url,title,location,date,pdf,transcription
,https://www.familysearch.org/library/books/viewer/635272/?offset=0#page=3&viewer=picture&o=&n=0&q=,"Records of the German Reformed Church of The Camp, now Germantown, Columbia County, N.Y. : commencing September 7, 1729 and ending February 5, 1849",www.familysearch.org,1729,,
,https://www.familysearch.org/search/catalog/140726?availability=Family%20History%20Library,"Records of the Lutheran Trinity Church of Stone Arabia in the Town of Palatine, Montgomery County, N.Y. 1751-1815",www.familysearch.org,,NYSL,
,https://www.familysearch.org/search/catalog/141893?availability=Family%20History%20Library,"Records of the Reformed Dutch Church of Kinderhook in Kinderhook, Columbia County, N.Y., 1716-1864",www.familysearch.org,,NYSL,
,https://www.familysearch.org/search/catalog/142066?availability=Family%20History%20Library,"Records of the First Reformed Church of Coxsackie, Greene County, N.Y., 1732-1918",www.familysearch.org,,NYSL,
,https://www.familysearch.org/search/catalog/188075?availability=Family%20History%20Library,"Records of the Reformed Dutch Church of Amity in the village of Visscher's Ferry, town of Clifton Park, Saratoga County, N. Y.",www.familysearch.org,,NYSL,
,https://www.familysearch.org/search/catalog/216541?availability=Family%20History%20Library,"Records of the Reformed Dutch Church of Stone Arabia in the town of Palatine, Montgomery County, N.Y., 1739-1912",www.familysearch.org,,NYSL,
,https://www.familysearch.org/search/film/008200921?cat=141907,Herkimer DRC,www.familysearch.org,,NYSL,
,https://www.familysearch.org/search/film/008624929?cat=140721,Schoharie DRC,www.familysearch.org,,NYSL,
,https://www.google.com/books/edition/Papers_and_Records_Ontario_Historical_So/qYMOAAAAYAAJ?hl=en&gbpv=1,"Ebenezar Lutheran Church, 1794-1832, Big Creek, Lennox, Ontario",www.google.com,1794,no,
,NYGBR,Port Richmond,"36: 177, 267",,yes,
,NYGBR,Rye Christ Church,"37: 4, 146, 257",,yes,
,NYGBR,New Dorp Moravian,"39: 17, 93, 167, 253",,yes,
,NYGBR,Harlingen DRC,"40: 281,",,yes,
,NYGBR,Walpeck Congregational,"40: 193, 264",,yes,
