Column,title,search,details 1,details 2,details 4,notes,from
100,"Parish registers, 1760-1910",https://www.familysearch.org/search/catalog/87241?availability=Family%20History%20Library,"Catholic Church. Assumption (Windsor, Ontario) (Main Author)\nCatholic Church. Diocese of London (Ontario) (Repository)\nCatholic Church. Assumption (Windsor, Ontario) (Repository)",Manuscript/Manuscript on Film,"Salt Lake City, Utah : Filmed by the Genealogical Society of Utah, 1981","Ontario, Roman Catholic Church Records are available online, click here.
Microfilm of original records in possession of the Diocese of London Archives and the Assumption Rectory.
Text in French, English and Latin.
The Assumption Catholic Church in Windsor, Ontario began as the ""Mission des Hurons de la Pointe de Montréal du Détroit,"" located in the western part of Essex County along the Detroit River.  In 1765, the mission became the parish of ""L'Assomption de la Pointe de Montréal du Détroit.""   In 1792, ""La Pointe de Montréal"" became Sandwich Township and the parish was also known as ""L'Assomption de Sandwich.""  In 1796, Detroit became part of the United States and some families from Detroit moved to Sandwich Township at that time. The area of Sandwich Township became the townships of Sandwich South, Sandwich West and Sandwich East in 1854.  The village of Windsor was established in 1835 in Sandwich Township and became a town in 1858.  The town of Sandwich was also created in 1858 and was annexed by Windsor in 1935.  Ontario was known as ""Upper Canada"" from 1791 to 1841.  Previously to 1791, the area was part of the Province of Canada.",
,Parish registers: Nova Scotia,https://heritage.canadiana.ca/view/oocihm.lac_mikan_101305,,,,,
,Parish registers: Quebec,https://heritage.canadiana.ca/view/oocihm.lac_mikan_101567,,,,,
,"Parish registers: United States (St. Martinville, Louisiana 1756-1794 incl Indigenous and Black, approx 50 pgs)",https://heritage.canadiana.ca/view/oocihm.lac_mikan_98022,,,,,
,Caughnawaga,https://www.familysearch.org/ark:/61903/3:1:3Q9M-C34Y-8S5J-8?i=3&cat=165735,,,,,
,Livingston Lutheran,https://www.familysearch.org/ark:/61903/3:1:3Q9M-C34Y-NFZT?i=38&cat=140703,,,,,
,Schoharie Lutheran,https://www.familysearch.org/ark:/61903/3:1:3Q9M-C34Y-V3LC?i=105&cat=140711,,,,,
,Berne Lutheran,https://www.familysearch.org/ark:/61903/3:1:3Q9M-CS73-M9YR-X?i=26&cat=89684,,,,,
,German Flatts DRC,https://www.familysearch.org/ark:/61903/3:1:3Q9M-CS79-1B43?mode=g&cat=141902,,,,,
,Germantown Lutheran,https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSLL-T3FX-P?i=123&cat=140690,,,,,
,Albany Presbyterian,https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQY-BQCM-5?i=9&cat=410657,,,,,
,Albany Lutheran ,https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQY-BQCM-5?i=9&cat=410664,,,,,
,Albany Lutheran ,https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQY-BQQ6-R?i=12&cat=410653,,,,,
,"Albany DRC vol 7, 1924",https://www.familysearch.org/ark:/61903/3:1:3QS7-8968-DPKM?i=856&cat=110300,,,,,
,"Albany DRC vol 8, 1926",https://www.familysearch.org/library/books/records/item/418162-year-book-of-the-holland-society-of-new-york-1926-1927?offset=18,,,,,
,Shawagunk DRC,https://www.familysearch.org/library/books/records/item/700783-yearbook-of-the-holland-society-of-new-york-1928-and-1929?offset=9,,,,,
,Baptisms from Reformed Dutch church at Success,https://www.familysearch.org/library/books/viewer/189550/?offset=0#page=103&viewer=picture&o=&n=0&q=,,,,,
,"Baptismal record of the First Reformed Dutch church at Jamaica, Long Island, New York ... 1702 to ..",https://www.familysearch.org/library/books/viewer/190936/?offset=0#page=101&viewer=picture&o=&n=0&q=,,,,,
,"Baptismal record of the Reformed Dutch Church at Oyster Bay, Long Island, New York, 1741-1846",https://www.familysearch.org/library/books/viewer/198348/?offset=0#page=101&viewer=picture&o=&n=0&q=,,,,,
,"Records of the Reformed Dutch church of Oyster Bay, L.I., 1741-1835; the Wolver Hollow Church",https://www.familysearch.org/library/books/viewer/212125/?offset=0#page=101&viewer=picture&o=&n=0&q=,,,,,
,"Records, 1757-1906, Vol. 5 New Hackensack, New York",https://www.familysearch.org/library/books/viewer/516192/?offset=0#page=20&viewer=picture&o=&n=0&q=,,,,,
,"Records of the German Reformed Church of The Camp, now Germantown, Columbia County, N.Y. : commencing September 7, 1729 and ending February 5, 1849",https://www.familysearch.org/library/books/viewer/635272/?offset=0#page=3&viewer=picture&o=&n=0&q=,,,,,
,"Vital records of St. Andrew's Episcopal Church, Walden, Orange County, New York, 1793-1906",https://www.familysearch.org/search/catalog/1001311?availability=Family%20History%20Library,,,,,
,"St. John's Lutheran Church, Manorton, New York computer printout, births and christenings, 1765-1872",https://www.familysearch.org/search/catalog/10120?availability=Family%20History%20Library,,,,,
,"Linlithgo Reformed Church, Linlithgo, New York computer printout, births and christenings, 1722-1874",https://www.familysearch.org/search/catalog/10152?availability=Family%20History%20Library,,,,,
,"First Presbyterian Church, Troy, Rensselaer, New York computer printout; births or christenings, 1793-1827",https://www.familysearch.org/search/catalog/10545?availability=Family%20History%20Library,,,,,
,"Congregational Church, Clinton, Oneida, New York computer printout; births or christenings, 1788-1843",https://www.familysearch.org/search/catalog/10569?availability=Family%20History%20Library,,,,,
,"Saratoga Reformed Dutch Protestant Church, Schuylerville, Saratoga, New York computer printout; births or christenings, 1790-1857",https://www.familysearch.org/search/catalog/10572?availability=Family%20History%20Library,,,,,
,"Lutheran Saint Pauls Church, Minden Township, Montgomery, New York computer printout; births or christenings, 1793-1845",https://www.familysearch.org/search/catalog/10597?availability=Family%20History%20Library,,,,,
,"Reformed Protestant Dutch of Greenbush, East Greenbush, Rensselaer, New York computer printout; births or christenings, 1788-1866",https://www.familysearch.org/search/catalog/10601?availability=Family%20History%20Library,,,,,
,"Saint Johns Dutch Reformed Church, Saint Johnsville, Montgomery, New York computer printout; births or christenings, 1788-1878",https://www.familysearch.org/search/catalog/10676?availability=Family%20History%20Library,,,,,
,"Reformed Dutch Church, Middleburg, Schoharie, New York computer printout; births or christenings, 1786-1865",https://www.familysearch.org/search/catalog/10801?availability=Family%20History%20Library,,,,,
,"German Reformed Church, New Rhinebeck-Cobleskill, Schoharie, New York computer printout; births or christenings, 1790-1876",https://www.familysearch.org/search/catalog/10860?availability=Family%20History%20Library,,,,,
,"Baptist Church records of Putnam, Washington County, New York, 1781-1947 : marriage, birth and death records, arranged by families",https://www.familysearch.org/search/catalog/110515?availability=Family%20History%20Library,,,,,
,"First Presbyterian Church, Lansingburg, Rensselaer, New York computer printout; births or christenings, 1793-1858",https://www.familysearch.org/search/catalog/11213?availability=Family%20History%20Library,,,,,
,"Lutheran Church, New York, New York, New York computer printout; births or christenings, 1725-1783",https://www.familysearch.org/search/catalog/11284?availability=Family%20History%20Library,,,,,
,"Reformed Protestant Dutch Church, Wynantskill, Rensselaer, New York computer printout; births or christenings, 1794-1867",https://www.familysearch.org/search/catalog/11287?availability=Family%20History%20Library,,,,,
