,year,source,target
447,1786,John N Heene,Anna A Heene
448,1787,Peter  Trexler,Catharina  Trexler
449,1774,Johannes J Waber,Elizabeth  Waber
450,1779,Jacob  Waber,Elizabeth  Waber
451,1771,Mattheus  Egner,Anna Barbara Eigner
452,1793,Jacob  Breinig,Barbara  Breinig
453,1762,Stephan  Wunder,Margriet  Wunder
454,1777,Zacharias  Andreas,Anna Maria Andreas
455,1781,Daniel  Maurer,Regina  Wagener
456,1783,Jacob  Beisel,Gertraut  Wagener
457,1783,George  Kiebler,Elizabeth  Kiebler
458,1754,George  Schroeder,Elizabeth  Schroeder
459,1773,Michael  Schever,Maria Elizabeth Schever
460,1774,Johannes  Egner,Catharina  Egner
461,1776,George  Schober,Christina  Schober
462,1779,Johannes Philipse Schmoyer,Magdalena  Schmoyer
463,1795,George  Schevli,Susanna  Schevli
464,1792,Daniel  Schwartz,Maria  Schwartz
465,1782,Johannes  Hainli,Elizabeth  Hainli
466,1783,Heinrich  Klock,Anna M Klock
467,1783,George  Walbert,Rosina  Walbert
468,1785,George  Herbst,Elizabeth  Herbst
469,1781,Peter  Dehevin,Elizabeth  Dehevin
470,1783,Nicholas  Schwebenheuser,Elizabeth  Schwebenheuser
471,1796,Adam  Bader,Maria  Bader
472,1796,Michael  Reem,Eva  Reem
473,1797,Jacob  Schmoyer,Susanna  Schmoyer
474,1795,Jacob  Breinig,Barbara  Breinig
475,1785,Heinrich  Christ,Elizabeth  Christ
476,1792,Melchior  Beer,Catharina  Beer
477,1773,Philip  Rut,Maria A Rut
478,1799,Adam  Zangmeister,Lydia  Zangmeister
479,1779,Michael  Sterner,Catharina  Sterner
480,1761,Peter  Rodler,Bernhardina  Rodler
481,1787,Johannes  Muth,Barbara  Muth
482,1761,George  Dutt,Christina  Dutt
484,1788,George  Druckenmiller,Magdalena  Druckenmiller
485,1792,Daniel  Schmoyer,Catharina  Schmoyer
486,1777,Daniel  Croninger,Anna M Croninger
487,1779,Nicholas  Kleyn,Margriet  Kleyn
488,1780,Jacob  Kigli,Catharina  Kigli
489,1783,Christian  Waber,Margriet  Waber
490,1786,Conrad  Heene,Elizabeth  Heene
491,1792,Christian  Reiner,Anna Maria Reiner
492,1797,Friedrich  Fenli,Elizabeth  Fenli
493,1789,Heinrich  Japel,Maria  Gebel
495,1798,Jacob  Gorr,Elizabeth  Gorr
496,1798,Christian  Ruth,Regina  Ruth
497,1751,Johannes Adam Sezer,Maria Magdalena Sezer
498,1771,Friedrich  Martini,Maria  Martini
500,1761,George  Bollich,Catharina  Bollich
501,1786,Johannes  Kammer,Albertina  Kammer
502,1759,Johannes  Beer,Eva  Waber
503,1761,Johannes  Jerret,Agnes Dorothea Jerret
505,1770,George  Mots,Dorothea  Mots
