,year,source,target
116,1803,Jacob  Mosser,Margriet Christina Beuck
0,1794,Magdalena Magdalena Mosser,Philip  Frank
6,1794,Rebecca  Hennrick,Nicol Susanna Dormeyer
10,1795,Elizabeth  Trautner,Nicol  Mokel
13,1795,Elizabeth  Freyberger,Anna Maria 13
14,1795,Maria Barbara Mosser,Catharina  13
17,1795,Susanna  Motz,Anna Maria 13
19,1795,Salome  Heckman,Salome  13
21,1795,Catharina  Dielman,Catharina  13
23,1795,Margeret Elizabeth Willeman,Georg  13
25,1795,Christina  Troester,Dan  Miller
31,1796,Elizabeth  Sauerwein,Christian  Espig
32,1796,Maria  Mosser,George  Wolf
34,1796,Maria Magdalena Stober,Adam  Stober
37,1796,Elizabeth  Gunkel,Michael  Mos
38,1796,Eva Catherine Herper,David  Weber
39,1796,Maria Margaretha Hans,Elizabeth Margaretha Georgin
40,1796,Anna Maria Miller,Anna Maria 13
41,1796,Catharina  Leidig,Adam  Stober
42,1796,Catharina  Klinger,Geo  Pontius
43,1796,Catharina  Ried,Johannes  Stober
44,1796,Christina  Stober,Fried  Stober
45,1796,Eva Joh Philips,Philip  Gunkel
46,1796,Eva  Valentine,Georg  Hess
47,1796,Elizabeth  Stober,Nicol  Weber
49,1796,Eva  Adam,Michael  Weber
50,1796,Salome  Mitshel,Chris  Henry
51,1796,Elizabeth  Spengler,Magdalena  13
53,1796,Susanna  Miller,Susanna  13
55,1797,Elizabeth  Stroh,Maria Susanna Franks
57,1802,Laria  Krebs,Christina  Krebs
58,1802,Eva  Theobold,Adam  Stober
69,1802,Catharina  Kepler,Jacob  Miller
70,1802,Catharina  Stober,Catharina Weber Christina
71,1802,Salome  Nies,Philip  Nies
74,1802,Catharina Geo Michaels,Geo Mic Trautner
77,1802,Rachel  Michel,Geo  Baursohs
79,1802,Eva  Jonathan,Philip  Frank
81,1802,Margriet  Krebs,Henrich  Krebs
82,1802,Elizabeth  Berner,Henrich  Gansert
84,1802,Elizabeth  Icheler,Barbara Boyer Elizabeth
86,1802,Barbara  Jacob,Jacob  Stober
87,1802,Catharina  Waldenberger,Adam  Leidig
90,1802,Sophia  Brecht,Jacob  Hennig
94,1803,Eva  Georg,Philip  Danner
96,1803,Christina Sara Wolf,Andries  Feller
97,1803,Anna Barbara Christina Willgen,Jacob  Weber
98,1803,Cathe  Michaels,John  Weis
100,1803,Eva Maria Hettinger,Geo  Trautner
101,1803,Christina  Nies,Joh Mic Mogel
104,1803,Susanna Anna Catharine Knoll,Adam  Kliger
105,1802,Susanna  Jacobs,Georg  Bayer
106,1803,Gertrant Christina Bayer,Catharina  Schoefein
107,1803,Juliana  Henrich,Henrich  13
108,1803,Catharina Magdalena Schip,Magdalena  Hellmanin
109,1803,Susanna Catherine Weis,Joh  Herper
110,1803,Christina  Vanlotten,Joh  Leidig
111,1803,Christina  Johannes,Johannes  Weber
112,1803,Catharina  Sarah,Jacob  Weber
113,1803,Eliza  Christopher,Joh  Criechbaum
23,1795,Margeret Elizabeth Willeman,Margriet Elizabeth Barbara
25,1795,Christina  Troester,Susanna Catherine Miller
31,1796,Elizabeth  Sauerwein,Margriet Elizabeth Espig
32,1796,Maria  Mosser,Magdalena Christina Wolf
34,1796,Maria Magdalena Stober,Barbara Maria Magdalena Stober
37,1796,Elizabeth  Gunkel,Catharina Barbara Mos
38,1796,Eva Catherine Herper,Eva Agatha Weber
41,1796,Catharina  Leidig,Christina Julianna Stober
42,1796,Catharina  Klinger,Maria Julianna Pontius
43,1796,Catharina  Ried,Maria Christina Barbara Stober
44,1796,Christina  Stober,Maria Magdalena Anna Stober
45,1796,Eva Joh Philips,Catharina  Gunkel
46,1796,Eva  Valentine,Maria  Gronigee
47,1796,Elizabeth  Stober,Juliana Barbara Weber
49,1796,Eva  Adam,Catharina Elizabeth Weber
50,1796,Salome  Mitshel,Judith Barbara Henry
57,1802,Laria  Krebs,Laria  Krebs
58,1802,Eva  Theobold,Laria  Stober
69,1802,Catharina  Kepler,Magdalena Catherine Miller
71,1802,Salome  Nies,Elizabeth Barbara Nies
74,1802,Catharina Geo Michaels,Margriet  Trautner
77,1802,Rachel  Michel,Judith Rosina Baursohs
79,1802,Eva  Jonathan,Catharina  Frank
81,1802,Margriet  Krebs,Anna Maria Margaretha Krebs
82,1802,Elizabeth  Berner,Barbara Elizabeth Gansert
86,1802,Barbara  Jacob,Catharina  Stober
87,1802,Catharina  Waldenberger,Christina Salome Leidig
90,1802,Sophia  Brecht,Eva Elizabeth Hennig
94,1803,Eva  Georg,Maria  Danner
96,1803,Christina Sara Wolf,Caroline Lotz Feller
97,1803,Anna Barbara Christina Willgen,Christina  Bayer
98,1803,Cathe  Michaels,Eva  Weis
100,1803,Eva Maria Hettinger,Margriet  Trautner
101,1803,Christina  Nies,Elizabeth  Mogel
104,1803,Susanna Anna Catharine Knoll,Margriet Eliza Kliger
105,1802,Susanna  Jacobs,Gertrant  Bayer
107,1803,Juliana  Henrich,Eva  13
109,1803,Susanna Catherine Weis,Catharina  Herper
110,1803,Christina  Vanlotten,Catharina Anna Maria Leidig
111,1803,Christina  Johannes,Eva  Weber
112,1803,Catharina  Sarah,Maria Magdalena Bayer
113,1803,Eliza  Christopher,Maria Eliza Criechbaum
12,1795,Johannes  Herr,Maria Elizabeth Barbara Herr
23,1795,Georg  13,Margriet Elizabeth Barbara
24,1795,Adam  Stober,Anna Magdalena Stober
25,1795,Dan  Miller,Susanna Catherine Miller
26,1795,Georg  Pontius,Margriet Catherine Pontius
27,1795,Georg  Bayer,Catharina  Huber
29,1795,Jacob  Weber,Rosina Christina Bayer
30,1796,Henry  Geistweith,Elizabeth Margaretha Geistweith
31,1796,Christian  Espig,Margriet Elizabeth Espig
32,1796,George  Wolf,Magdalena Christina Wolf
33,1796,Peter  Heckman,Elizabeth Salome Heckman
34,1796,Adam  Stober,Barbara Maria Magdalena Stober
35,1796,Nicol  Emmerick,Elizabeth Barbara Emmerick
36,1796,Geo  Trautner,Elizabeth Margaretha Trautner
37,1796,Michael  Mos,Catharina Barbara Mos
38,1796,David  Weber,Eva Agatha Weber
41,1796,Adam  Stober,Christina Julianna Stober
42,1796,Geo  Pontius,Maria Julianna Pontius
43,1796,Johannes  Stober,Maria Christina Barbara Stober
44,1796,Fried  Stober,Maria Magdalena Anna Stober
