,year,source,target
81,1758,Jacob Schmelzer ,Anna Margaretha Schmitt
81,1758,Anna Margaretha Wacker,Anna Margaretha Schmitt
53,1758,Michael  Schwartz,Anna Margaretha Smith
53,1758,Eva  Buschung,Anna Margaretha Smith
53,1758,Georg  Dietz,Anna Margaretha Smith
81,1758,Jacob Schmelzer ,Anna Margaretha Wacker
61,1758,Philip  Smith,Anna Maria Cron
61,1758,Cathar:  Eliesabetha,Anna Maria Cron
61,1758,Johannes  Cron,Anna Maria Cron
24,1758,Jacob  Leber,Anna Maria Leber
50,1758,Jacob  Michel,Antony  Kirchhard
50,1758,Eliesabetha  Michel,Antony  Kirchhard
52,1758,Michael  Buttner,Barbara  Siegrist
52,1758,Eliesabetha  Buttner,Barbara  Siegrist
52,1758,Jacob  Siegrist,Barbara  Siegrist
61,1758,Philip  Smith,Cathar:  Eliesabetha
59,1758,Martin  Bleymeyer,Catharina  Bleymeyer
57,1758,Simmon  Cron,Catharina Elizabeth Lorei
57,1758,Maria Catharina Gohn,Catharina Elizabeth Lorei
57,1758,Johannes Melcher Lorei,Catharina Elizabeth Lorei
13,1758,Johannes Nicolaus Deh,Christina  Riemann
44,1758,Georg Ludwig Grisch,Christina  Riemann
13,1758,Anna Margaretha Abel,Christina  Riemann
44,1758,Maria Catharina Grisch,Christina  Riemann
13,1758,Johannes Jacob Riemann,Christina  Riemann
44,1758,Johannes Jacob Riemann,Christina  Riemann
51,1758,Jacob  Schon,Christina  Stegner
51,1758,Eliesabetha Catharina Schon,Christina  Stegner
51,1758,Jacob  Stegner,Christina  Stegner
52,1758,Michael  Buttner,Eliesabetha  Buttner
50,1758,Jacob  Michel,Eliesabetha  Michel
51,1758,Jacob  Schon,Eliesabetha Catharina Schon
53,1758,Michael  Schwartz,Eva  Buschung
53,1758,Michael  Schwartz,Georg  Dietz
53,1758,Eva  Buschung,Georg  Dietz
60,1758,Balthaser  Zumwald,Gotfried  Frey
60,1758,Balthaser  Zumwald,Gotfried  Frey
60,1758,Maria Clara Zumwald,Gotfried  Frey
60,1758,Maria Clara Zumwald,Gotfried  Frey
60,1758,Gotfried  Frey,Gotfried  Frey
60,1758,Anna  Siegrist,Gotfried  Frey
56,1758,Melchior  Hermann,Jacob  Dellinger
56,1758,Agne  Schneider,Jacob  Dellinger
58,1758,Antony  Kirchhard,Jacob  Michel
58,1758,Veronica  Albrecht,Jacob  Michel
32,1758,Lorentz  Hirschener,Jacob  Schultz
32,1758,Maria Salome Hirschener,Jacob  Schultz
52,1758,Michael  Buttner,Jacob  Siegrist
52,1758,Eliesabetha  Buttner,Jacob  Siegrist
51,1758,Jacob  Schon,Jacob  Stegner
51,1758,Eliesabetha Catharina Schon,Jacob  Stegner
64,1758,Philip  Hebeisen,Johannes  Andreas
64,1758,Anna Margaretha Hebeisen,Johannes  Andreas
24,1758,Jacob  Leber,Johannes  Attich
24,1758,Anna Maria Leber,Johannes  Attich
61,1758,Philip  Smith,Johannes  Cron
61,1758,Cathar:  Eliesabetha,Johannes  Cron
13,1758,Johannes Nicolaus Deh,Johannes Jacob Riemann
44,1758,Georg Ludwig Grisch,Johannes Jacob Riemann
13,1758,Anna Margaretha Abel,Johannes Jacob Riemann
44,1758,Maria Catharina Grisch,Johannes Jacob Riemann
62,1758,Johnjacob  Schultz,Johannes Jacob Welshofer
62,1758,Maria Barbara Ament,Johannes Jacob Welshofer
57,1758,Simmon  Cron,Johannes Melcher Lorei
57,1758,Maria Catharina Gohn,Johannes Melcher Lorei
59,1758,Martin  Bleymeyer,Johannes Philipp Flindspach
59,1758,Catharina  Bleymeyer,Johannes Philipp Flindspach
47,1758,Isaac  Harington,John  Harington
48,1758,Balthaser  Schonberger,John Georg Abel
48,1758,Anna Margaretha Abel,John Georg Abel
45,1758,Philip  Bennighof,Joshua  Dellinger
45,1758,Maria Elizabeth Schwerd,Joshua  Dellinger
58,1758,Antony  Kirchhard,Magdalena Elizabeth Michel
58,1758,Veronica  Albrecht,Magdalena Elizabeth Michel
58,1758,Jacob  Michel,Magdalena Elizabeth Michel
59,1758,Martin  Bleymeyer,Margriet  Flindspach
59,1758,Catharina  Bleymeyer,Margriet  Flindspach
59,1758,Johannes Philipp Flindspach,Margriet  Flindspach
62,1758,Johnjacob  Schultz,Maria Barbara Ament
32,1758,Lorentz  Hirschener,Maria Barbara Ament
32,1758,Maria Salome Hirschener,Maria Barbara Ament
32,1758,Jacob  Schultz,Maria Barbara Ament
47,1758,Isaac  Harington,Maria Barbara Dellinger
56,1758,Melchior  Hermann,Maria Barbara Dellinger
47,1758,John  Harington,Maria Barbara Dellinger
56,1758,Agne  Schneider,Maria Barbara Dellinger
47,1758,Philip  Bennighof,Maria Barbara Dellinger
56,1758,Jacob  Dellinger,Maria Barbara Dellinger
31,1758,Johannes  Hahn,Maria Barbara Dritt
31,1758,Agnes  Legnier,Maria Barbara Dritt
31,1758,Peter  Dritt,Maria Barbara Dritt
57,1758,Simmon  Cron,Maria Catharina Gohn
44,1758,Georg Ludwig Grisch,Maria Catharina Grisch
60,1758,Balthaser  Zumwald,Maria Clara Zumwald
62,1758,Johnjacob  Schultz,Maria Elizabeth Ament
62,1758,Maria Barbara Ament,Maria Elizabeth Ament
62,1758,Johannes Jacob Welshofer,Maria Elizabeth Ament
45,1758,Philip  Bennighof,Maria Elizabeth Schwerd
24,1758,Jacob  Leber,Maria Magdalena Paulis
24,1758,Anna Maria Leber,Maria Magdalena Paulis
24,1758,Johannes  Attich,Maria Magdalena Paulis
64,1758,Philip  Hebeisen,Maria Margaretha Andreas
64,1758,Anna Margaretha Hebeisen,Maria Margaretha Andreas
64,1758,Johannes  Andreas,Maria Margaretha Andreas
32,1758,Lorentz  Hirschener,Maria Salome Hirschener
44,1758,Georg Ludwig Grisch,Maria Sophia Riemann
44,1758,Maria Catharina Grisch,Maria Sophia Riemann
44,1758,Johannes Jacob Riemann,Maria Sophia Riemann
44,1758,Christina  Riemann,Maria Sophia Riemann
31,1758,Johannes  Hahn,Peter  Dritt
31,1758,Agnes  Legnier,Peter  Dritt
47,1758,Isaac  Harington,Philip  Bennighof
47,1758,John  Harington,Philip  Bennighof
58,1758,Antony  Kirchhard,Veronica  Albrecht
50,1758,Jacob  Michel,Veronica  Kirchhard
50,1758,Eliesabetha  Michel,Veronica  Kirchhard
50,1758,Antony  Kirchhard,Veronica  Kirchhard
66,1759,Georg  Wachtel,Agnes  Hahn
66,1759,Maria Barbara Berckley,Agnes  Hahn
66,1759,Johannes  Hahn,Agnes  Hahn
69,1759,Balthaser  Schonberger,Anna Barbara Abel Schonberger
69,1759,Maria Margaretha Schonberger,Anna Barbara Abel Schonberger
69,1759,Johannes  Schonberger,Anna Barbara Abel Schonberger
63,1759,Valendin  Heyger,Anna Catharina Heyger
70,1759,Michael  Zimermann,Anna Catharina Konig
70,1759,Maria Magdalena Zimermann,Anna Catharina Konig
70,1759,Michael  Konig,Anna Catharina Konig
71,1759,Simmon  Cron,Anna Catharina Schmeltzer
71,1759,Maria Catharina Cron,Anna Catharina Schmeltzer
71,1759,Philip  Schmeltzer,Anna Catharina Schmeltzer
63,1759,Valendin  Heyger,Anna Catharina Welshofer
63,1759,Anna Catharina Heyger,Anna Catharina Welshofer
79,1759,Joseph  Infeld,Anna Margaretha Meyer
79,1759,Christina  Infeld,Anna Margaretha Meyer
79,1759,Balthaser  Wacker,Anna Margaretha Meyer
78,1759,Joseph  Infeld,Anna Margaretha Wacker
78,1759,Christina  Infeld,Anna Margaretha Wacker
78,1759,Ludwig  Meyer,Anna Margaretha Wacker
79,1759,Joseph  Infeld,Balthaser  Wacker
79,1759,Christina  Infeld,Balthaser  Wacker
68,1759,Johannes  Hirschener,Catharina  Bayer
68,1759,Christina  Hirschener,Catharina  Bayer
68,1759,Philip  Bayer,Catharina  Bayer
68,1759,Johannes  Hirschener,Christina  Hirschener
78,1759,Joseph  Infeld,Christina  Infeld
79,1759,Joseph  Infeld,Christina  Infeld
46,1759,Jacob  Harington,Eliesabetha  Evan
46,1759,Maria  Harington,Eliesabetha  Evan
46,1759,Moses  Gooden,Eliesabetha  Evan
67,1759,Samuel  Evans,Francisca  Evans
66,1759,Georg  Wachtel,Johannes  Hahn
66,1759,Maria Barbara Berckley,Johannes  Hahn
69,1759,Balthaser  Schonberger,Johannes  Schonberger
69,1759,Maria Margaretha Schonberger,Johannes  Schonberger
78,1759,Joseph  Infeld,Ludwig  Meyer
78,1759,Christina  Infeld,Ludwig  Meyer
46,1759,Jacob  Harington,Maria  Harington
66,1759,Georg  Wachtel,Maria Barbara Berckley
71,1759,Simmon  Cron,Maria Catharina Cron
70,1759,Michael  Zimermann,Maria Magdalena Zimermann
69,1759,Balthaser  Schonberger,Maria Margaretha Schonberger
67,1759,Samuel  Evans,Maria Sophia Behner
46,1759,Jacob  Harington,Maria Sophia Behner
67,1759,Francisca  Evans,Maria Sophia Behner
46,1759,Maria  Harington,Maria Sophia Behner
67,1759,Veit  Behner,Maria Sophia Behner
46,1759,Moses  Gooden,Maria Sophia Behner
46,1759,Eliesabetha  Evan,Maria Sophia Behner
70,1759,Michael  Zimermann,Michael  Konig
70,1759,Maria Magdalena Zimermann,Michael  Konig
46,1759,Jacob  Harington,Moses  Gooden
46,1759,Maria  Harington,Moses  Gooden
68,1759,Johannes  Hirschener,Philip  Bayer
68,1759,Christina  Hirschener,Philip  Bayer
71,1759,Simmon  Cron,Philip  Schmeltzer
71,1759,Maria Catharina Cron,Philip  Schmeltzer
67,1759,Samuel  Evans,Veit  Behner
67,1759,Francisca  Evans,Veit  Behner
14,1760,Johannes Nicolaus Deh,Anna Margaretha Abel
54,1760,Michael  Schwartz,Catharina  Konig
54,1760,Eva  Buschung,Catharina  Konig
54,1760,Michael  Konig,Catharina  Konig
14,1760,Johannes Nicolaus Deh,Catharina Liesbeta Lorei
14,1760,Anna Margaretha Abel,Catharina Liesbeta Lorei
14,1760,Johannes Melcher Lorei,Catharina Liesbeta Lorei
54,1760,Michael  Schwartz,Eva  Buschung
14,1760,Johannes Nicolaus Deh,Johannes Melcher Lorei
14,1760,Anna Margaretha Abel,Johannes Melcher Lorei
54,1760,Michael  Schwartz,Michael  Konig
54,1760,Eva  Buschung,Michael  Konig
82,1761,Jacob  Schmelzer,Anna Margaretha Wacker
85,1761,Anna Elisabet Paulis ,Antony  Ament
