,year,source,target
150,1782,Catharina  Blessing,Margriet  Kruger
85,1782,Maximilian  Speidel,Barbara  Speidel
138,1782,Christopher,Rosina  Shupp
150,1782,Antoine  Blessing,Margriet  Kruger
85,1782,Maximilian  Speidel,Philip  Blessing
85,1782,Maximilian  Speidel,Magdalena  Speidel
85,1782,Barbara  Speidel,Philip  Blessing
85,1782,Barbara  Speidel,Magdalena  Speidel
85,1782,Philip  Blessing,Magdalena  Speidel
148,1783,John  Bucks,Margriet  Bucks
149,1783,Philip  Blessing,Magdalena  Blessing
148,1783,John  Bucks,Peter  Bucks
149,1783,Philip  Blessing,Antoine  Blessing
148,1783,John  Bucks,Wife Of Peter Bucks
149,1783,Philip  Blessing,Salome  Blessing
148,1783,Margriet  Bucks,Peter  Bucks
149,1783,Magdalena  Blessing,Antoine  Blessing
148,1783,Margriet  Bucks,Wife Of Peter Bucks
149,1783,Magdalena  Blessing,Salome  Blessing
148,1783,Peter  Bucks,Wife Of Peter Bucks
149,1783,Antoine  Blessing,Salome  Blessing
152,1787,John Peter Bucks,Wife Of John Peter Bucks
159,1788,Maximilian  Speidel,Barbara  Speidel
159,1788,Maximilian  Speidel,Augustus
159,1788,Maximilian  Speidel,Anna  Stoll
159,1788,Barbara  Speidel,Augustus
159,1788,Barbara  Speidel,Anna  Stoll
159,1788,Augustus,Anna  Stoll
167,1810,Robert  Carnicken,Maria  Carnicken
167,1810,Robert  Carnicken,Jacob
167,1810,Robert  Carnicken,Catharina  Miller
167,1810,Maria  Carnicken,Jacob
167,1810,Maria  Carnicken,Catharina  Miller
167,1810,Jacob,Catharina  Miller
169,1811,John  Schneider,Maria Magdalena Schneider
171,1811,Mattheus  Sesseman,Esther  Sesseman
172,1811,James M Christel,Catharina  Christel
169,1811,John  Schneider,John  Conrad
171,1811,Mattheus  Sesseman,Witness Anna Maria Sesseman
172,1811,James M Christel,Witness Christina Spring
169,1811,John  Schneider,Rosina  Conrad
169,1811,Maria Magdalena Schneider,John  Conrad
171,1811,Esther  Sesseman,Witness Anna Maria Sesseman
172,1811,Catharina  Christel,Witness Christina Spring
169,1811,Maria Magdalena Schneider,Rosina  Conrad
169,1811,John  Conrad,Rosina  Conrad
174,1812,John  Fromin,Magdalena  Fromin
175,1812,John  Smith,Susannah  Smith
174,1812,John  Fromin,Witness Anna Bender
175,1812,John  Smith,Michael  Woltz
175,1812,John  Smith,Wife Of Michael Woltz
174,1812,Magdalena  Fromin,Witness Anna Bender
175,1812,Susannah  Smith,Michael  Woltz
175,1812,Susannah  Smith,Wife Of Michael Woltz
175,1812,Michael  Woltz,Wife Of Michael Woltz
177,1813,William  Hamilton,Margriet  Hamilton
178,1813,William  Thompson,Hannah  Thompson
179,1813,William  Thompson,Hannah  Thompson
180,1813,William  Thompson,Hannah  Thompson
181,1813,William  Thompson,Hannah  Thompson
182,1813,William  Thompson,Hannah  Thompson
183,1813,Henry  Haack,Magdalena  Haack
184,1813,John  Fromin,Molly  Fromin
185,1813,Jonathan  Miller,Maria  Miller
186,1813,Jacob  Miller,Catharina  Miller
177,1813,William  Hamilton,Witness Anna Bender
178,1813,William  Thompson,Witness Jacob Bucks
179,1813,William  Thompson,Witness Dorothea James
180,1813,William  Thompson,Witness Maria Bucks
181,1813,William  Thompson,Witness Christina Spring
182,1813,William  Thompson,Witness Christina Spring
183,1813,Henry  Haack,Jacob  Bucks
184,1813,John  Fromin,Witness Anna Bender
185,1813,Jonathan  Miller,John
