,congregation,year,modularity,count
458,sleepyhollow-drc,1725,10,40
459,sleepyhollow-drc,1725,11,44
460,sleepyhollow-drc,1725,12,0
461,sleepyhollow-drc,1725,13,26
462,sleepyhollow-drc,1725,14,17
463,sleepyhollow-drc,1725,15,0
464,sleepyhollow-drc,1726,0,46
465,sleepyhollow-drc,1726,1,25
466,sleepyhollow-drc,1726,2,25
467,sleepyhollow-drc,1726,3,45
468,sleepyhollow-drc,1726,4,60
469,sleepyhollow-drc,1726,5,55
470,sleepyhollow-drc,1726,6,31
471,sleepyhollow-drc,1726,7,64
472,sleepyhollow-drc,1726,8,56
473,sleepyhollow-drc,1726,9,15
474,sleepyhollow-drc,1726,10,42
475,sleepyhollow-drc,1726,11,44
476,sleepyhollow-drc,1726,12,0
477,sleepyhollow-drc,1726,13,25
478,sleepyhollow-drc,1726,14,21
479,sleepyhollow-drc,1726,15,0
480,sleepyhollow-drc,1727,0,48
481,sleepyhollow-drc,1727,1,26
482,sleepyhollow-drc,1727,2,23
483,sleepyhollow-drc,1727,3,45
484,sleepyhollow-drc,1727,4,59
485,sleepyhollow-drc,1727,5,44
486,sleepyhollow-drc,1727,6,31
487,sleepyhollow-drc,1727,7,69
488,sleepyhollow-drc,1727,8,57
489,sleepyhollow-drc,1727,9,15
490,sleepyhollow-drc,1727,10,43
491,sleepyhollow-drc,1727,11,45
492,sleepyhollow-drc,1727,12,0
493,sleepyhollow-drc,1727,13,24
494,sleepyhollow-drc,1727,14,30
495,sleepyhollow-drc,1727,15,0
496,sleepyhollow-drc,1728,0,49
497,sleepyhollow-drc,1728,1,29
498,sleepyhollow-drc,1728,2,25
499,sleepyhollow-drc,1728,3,45
500,sleepyhollow-drc,1728,4,58
501,sleepyhollow-drc,1728,5,40
502,sleepyhollow-drc,1728,6,32
503,sleepyhollow-drc,1728,7,73
504,sleepyhollow-drc,1728,8,56
505,sleepyhollow-drc,1728,9,18
506,sleepyhollow-drc,1728,10,44
507,sleepyhollow-drc,1728,11,48
508,sleepyhollow-drc,1728,12,0
509,sleepyhollow-drc,1728,13,22
510,sleepyhollow-drc,1728,14,37
511,sleepyhollow-drc,1728,15,0
512,sleepyhollow-drc,1729,0,55
513,sleepyhollow-drc,1729,1,29
514,sleepyhollow-drc,1729,2,23
515,sleepyhollow-drc,1729,3,46
516,sleepyhollow-drc,1729,4,59
517,sleepyhollow-drc,1729,5,35
518,sleepyhollow-drc,1729,6,26
519,sleepyhollow-drc,1729,7,75
